ship_type
BII-1 duwstel Europa II (V)
"BII-2b duwstel Eur II, 2b breed"
M0 (overig)
M10 (Breed Groot Rijnschip)
M11 (Verlengd Breed Groot Rijnschip)
M12 (Rijnmax)
M2-Container (Kempenaar) 2-laags
M3 (Hagenaar) (CEMT III)
M6-Container (Rijn-Herne) 3-laags
M7 (Verlengd Rijn-Hernekan) (CEMT IV)
M8-Container (Groot Rijn) 4-laags
M9 (Verlengd Groot Rijnschip)
